vn,ve,vd
0.239999995,0.170000002,0.209999993
0.239999995,0.170000002,0.209999993
0.239999995,0.170000002,0.209999993
0.239999995,0.170000002,0.209999993
0.239999995,0.170000002,0.209999993
0.239999995,0.170000002,0.209999993
0.099999994,0.229999989,0.170000002
0.099999994,0.229999989,0.170000002
0.099999994,0.229999989,0.170000002
0.099999994,0.229999989,0.170000002
0.099999994,0.229999989,0.170000002
0.099999994,0.229999989,0.170000002
-0.209999993,0.079999998,0.089999996
-0.209999993,0.079999998,0.089999996
-0.209999993,0.079999998,0.089999996
-0.209999993,0.079999998,0.089999996
-0.209999993,0.079999998,0.089999996
-0.209999993,0.079999998,0.089999996
0.259999991,0.340000004,0.550000012
0.259999991,0.340000004,0.550000012
0.259999991,0.340000004,0.550000012
0.259999991,0.340000004,0.550000012
0.259999991,0.340000004,0.550000012
0.259999991,0.340000004,0.550000012
0.289999992,0.370000005,0.379999995
0.289999992,0.370000005,0.379999995
0.289999992,0.370000005,0.379999995
0.289999992,0.370000005,0.379999995
0.289999992,0.370000005,0.379999995
0.289999992,0.370000005,0.379999995
0.48999998,1.029999971,0.74000001
0.48999998,1.029999971,0.74000001
0.48999998,1.029999971,0.74000001
0.48999998,1.029999971,0.74000001
0.48999998,1.029999971,0.74000001
0.48999998,1.029999971,0.74000001
0.509999991,0.259999991,0.550000012
0.509999991,0.259999991,0.550000012
0.509999991,0.259999991,0.550000012
0.509999991,0.259999991,0.550000012
0.509999991,0.259999991,0.550000012
0.509999991,0.259999991,0.550000012
0.029999999,0.229999989,0.25
0.029999999,0.229999989,0.25
0.029999999,0.229999989,0.25
0.029999999,0.229999989,0.25
0.029999999,0.229999989,0.25
0.029999999,0.229999989,0.25
0.349999994,0.479999989,0.039999999
0.349999994,0.479999989,0.039999999
0.349999994,0.479999989,0.039999999
0.349999994,0.479999989,0.039999999
0.349999994,0.479999989,0.039999999
0.349999994,0.479999989,0.039999999
0.289999992,0.5,0.109999999
0.289999992,0.5,0.109999999
0.289999992,0.5,0.109999999
0.289999992,0.5,0.109999999
0.289999992,0.5,0.109999999
0.289999992,0.5,0.109999999
0.389999986,0.659999967,0.349999994
0.389999986,0.659999967,0.349999994
0.389999986,0.659999967,0.349999994
0.389999986,0.659999967,0.349999994
0.389999986,0.659999967,0.349999994
0.389999986,0.659999967,0.349999994
0.310000002,0.849999964,0.680000007
0.310000002,0.849999964,0.680000007
0.310000002,0.849999964,0.680000007
0.310000002,0.849999964,0.680000007
0.310000002,0.849999964,0.680000007
0.310000002,0.849999964,0.680000007
0.299999982,0.579999983,0.689999998
0.299999982,0.579999983,0.689999998
0.299999982,0.579999983,0.689999998
0.299999982,0.579999983,0.689999998
0.299999982,0.579999983,0.689999998
0.299999982,0.579999983,0.689999998
0.219999999,-0.039999999,0.560000002
0.219999999,-0.039999999,0.560000002
0.219999999,-0.039999999,0.560000002
0.219999999,-0.039999999,0.560000002
0.219999999,-0.039999999,0.560000002
0.219999999,-0.039999999,0.560000002
0.399999976,0.289999992,0.48999998
0.399999976,0.289999992,0.48999998
0.399999976,0.289999992,0.48999998
0.399999976,0.289999992,0.48999998
0.399999976,0.289999992,0.48999998
0.399999976,0.289999992,0.48999998
0.550000012,0.429999977,0.569999993
0.550000012,0.429999977,0.569999993
0.550000012,0.429999977,0.569999993
0.550000012,0.429999977,0.569999993
0.550000012,0.429999977,0.569999993
0.550000012,0.429999977,0.569999993
0.719999969,0.589999974,0.719999969
0.719999969,0.589999974,0.719999969
0.719999969,0.589999974,0.719999969
0.719999969,0.589999974,0.719999969
0.719999969,0.589999974,0.719999969
0.719999969,0.589999974,0.719999969
0.699999988,0.539999962,0.74000001
0.699999988,0.539999962,0.74000001
0.699999988,0.539999962,0.74000001
0.699999988,0.539999962,0.74000001
0.699999988,0.539999962,0.74000001
0.699999988,0.539999962,0.74000001
0.299999982,0.519999981,0.879999995
0.299999982,0.519999981,0.879999995
0.299999982,0.519999981,0.879999995
0.299999982,0.519999981,0.879999995
0.299999982,0.519999981,0.879999995
0.299999982,0.519999981,0.879999995
1.0,1.419999957,1.110000014
1.0,1.419999957,1.110000014
1.0,1.419999957,1.110000014
1.0,1.419999957,1.110000014
1.0,1.419999957,1.110000014
1.0,1.419999957,1.110000014
0.849999964,0.659999967,1.329999924
0.849999964,0.659999967,1.329999924
0.849999964,0.659999967,1.329999924
0.849999964,0.659999967,1.329999924
0.849999964,0.659999967,1.329999924
0.849999964,0.659999967,1.329999924
0.72999996,0.340000004,1.319999933
0.72999996,0.340000004,1.319999933
0.72999996,0.340000004,1.319999933
0.72999996,0.340000004,1.319999933
0.72999996,0.340000004,1.319999933
0.72999996,0.340000004,1.319999933
0.799999952,0.529999971,1.309999943
0.799999952,0.529999971,1.309999943
0.799999952,0.529999971,1.309999943
0.799999952,0.529999971,1.309999943
0.799999952,0.529999971,1.309999943
0.799999952,0.529999971,1.309999943
0.550000012,0.089999996,1.159999967
0.550000012,0.089999996,1.159999967
0.550000012,0.089999996,1.159999967
0.550000012,0.089999996,1.159999967
0.550000012,0.089999996,1.159999967
0.550000012,0.089999996,1.159999967
0.839999974,0.799999952,0.819999993
0.839999974,0.799999952,0.819999993
0.839999974,0.799999952,0.819999993
0.839999974,0.799999952,0.819999993
0.839999974,0.799999952,0.819999993
0.839999974,0.799999952,0.819999993
0.429999977,0.259999991,1.019999981
0.429999977,0.259999991,1.019999981
0.429999977,0.259999991,1.019999981
0.429999977,0.259999991,1.019999981
0.429999977,0.259999991,1.019999981
0.429999977,0.259999991,1.019999981
